Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
Doctor Who (Terror of the Vervoids),1985,TV Ep,"GMOs, Chimera/TransGen","human, plant",Mixed,Academic,NA,low,peripheral,"Monsters, SciDedicated, Bioethics",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Ark in Space),1975,TV Ep,"Biobank, Eugenics",human,No,Government,radiation,low,peripheral,"Monsters, Posthumanism, SciCold",positive,"Adventure,Drama,Sci-Fi"
Doctor Who (The Big Bang),2010,TV Ep,DNAtoID,human,NA,NA,NA,low,peripheral,"Mortality, Childhood, Sacrifice",positive,"Adventure,Drama,Sci-Fi"
Doctor Who (The Church on Ruby Road),2023,TV Ep,"DNAtoID, Biobank",NA,NA,Corporation,NA,low,peripheral,Adoption/NonBioParent,mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Curse of Fenric),1989,TV Ep,"Evolution, Mutation",human,Yes,NA,NA,low,peripheral,Monsters,negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Daleks),1963,TV Ep,Mutation,human,Mixed,Accident,radiation,low,peripheral,Monsters,negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Doctor's Daughter),2008,TV Ep,"DataPrivacy, Cloning, GeneEngHu",human,No,Government,diploid to haploid cloning from cells,mid,central,"Genealogy, Sacrifice, Posthumanism",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Empty Child & The Doctor Dances),2005,TV Ep,"Mutation, DNAtoID",human,No,Accident,nanotechnology,low,peripheral,"Childhood, SexGender",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The End of Time),2009,TV Ep,"Cloning, Chimera/TransGen",human,Yes,Private,NA,low,peripheral,"Religion, Mortality, Autonomy",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Hand of Fear),1976,TV Ep,Essentialism,human,Yes,NA,radiation,low,peripheral,"Autonomy, Monsters",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Husbands of River Song),2015,TV Ep,GeneEngHu,human,Mixed,"Government, Private",NA,low,peripheral,Mortality,mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Invisible Enemy),1977,TV Ep,Cloning,human,No,Medical,NA,low,peripheral,"Medicine/pos, Vulnerability",positive,"Adventure,Drama,Sci-Fi"
Doctor Who (The Keys of Marinus),1964,TV Ep,GMOs,plant,Yes,Private,NA,low,peripheral,SciDedicated,negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Lazarus Experiment),2007,TV Ep,"DataPrivacy, Mutation, GeneEngHu",human,Yes,Academic,NA,low,peripheral,"SciDedicated, Prometheus, Monsters, Mortality",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Leisure Hive),1980,TV Ep,"Sex, Cloning",human,No,Private,radiation,low,peripheral,"Mortality, SciDedicated",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Mutants),1972,TV Ep,"Eugenics, Mutation",human,No,Accident,radiation,low,peripheral,"Discrimination, Monsters",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Parting of Ways),2005,TV Ep,"GeneEngHu, Chimera/TransGen, Eugenics, Essentialism",human,Yes,Private,NA,low,peripheral,Monsters,negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Power of the Daleks),1966,TV Ep,Mutation,human,Yes,NA,NA,low,peripheral,"Monsters, Exploitation, SciDedicated, Sacrifice",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Pyramid at the End of the World),2017,TV Ep,GMOs,microbe,Yes,Accident,NA,mid,peripheral,"Autonomy, Sacrifice",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Rebel Flesh & The Almost People),2011,TV Ep,"Cloning, DataPrivacy",human,Mixed,Corporation,NA,low,peripheral,"Exploitation, Individualism",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Snowmen),2012,TV Ep,"Chimera/TransGen, Evolution",human,Yes,Government,NA,low,peripheral,"Monsters, Mortality",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Sontaran Experiment),1975,TV Ep,Cloning,human,Yes,Government,NA,low,peripheral,"SciCold, Exploitation",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Sontaran Stratagem & The Poison Sky),2008,TV Ep,"Cloning, DataPrivacy",human,Yes,Government,NA,low,peripheral,"Medicine/pos, Exploitation, Sacrifice",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Sound of Drums),2007,TV Ep,"DataPrivacy, GeneEngHu",human,No,Private,NA,low,peripheral,SciMad,negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Time of the Doctor),2013,TV Ep,GeneEngHu,human,Yes,NA,NA,low,peripheral,"Monsters, Religion, Mortality",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Timeless Children),2020,TV Ep,"GeneEngHu, Chimera/TransGen, Conservation",human,No,Private,NA,low,central,"Adoption/NonBioParent, SciDedicated, Mortality, Posthumanism",mixed,"Adventure,Drama,Sci-Fi"
Doctor Who (The Two Doctors),1985,TV Ep,"DataPrivacy, GeneEngHu, Chimera/TransGen",human,Mixed,Private,NA,low,peripheral,"Posthumanism, SciMad, Autonomy, Prometheus",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Unicorn and the Wasp),2008,TV Ep,Chimera/TransGen,human,Yes,NA,NA,low,peripheral,"Adoption/NonBioParent, Monsters, Forensics, Genealogy",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Visitation),1982,TV Ep,"BioWar/Terror, GMOs",microbe,Yes,Private,NA,low,peripheral,"Vulnerability, Medicine/neg",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (The Waters of Mars),2009,TV Ep,"BioWar/Terror, Mutation",microbe,Yes,NA,NA,low,central,"Monsters, Sacrifice, SciNazi",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (Time Heist),2014,TV Ep,"Mutation, GeneTherapy, Cloning",human,Mixed,Private,NA,low,peripheral,"Posthumanism, Vulnerability, Exploitation",negative,"Adventure,Drama,Sci-Fi"
Doctor Who (Underworld),1978,TV Ep,"Biobank, Conservation",human,No,Government,NA,mid,central,"Mortality, Genealogy",positive,"Adventure,Drama,Sci-Fi"
Doctor Who (Vengeance on Varos),1985,TV Ep,Mutation,human,No,Government,NA,low,peripheral,Exploitation,negative,"Adventure,Drama,Sci-Fi"
Doctor Who (Victory of the Daleks),2010,TV Ep,"Biobank, DNAtoID, Eugenics",human,Yes,Private,NA,low,peripheral,"SciNazi, Monsters",negative,"Adventure,Drama,Sci-Fi"
"Doogie Howser, M.D. (Doogie Has Left the Building Part 1 & 2)",1991,TV Ep,"GeneScreen, GeneTherapy, OrganHarvest",human,No,Medical,umbilical stem cell transfer,high,central,"Childhood, Bioethics, Medicine/pos, Mortality",positive,"Comedy,Drama,Family"
"Doogie Howser, M.D. (The Ice Queen Cometh)",1989,TV Ep,"Eugenics, Sex",NA,NA,Private,NA,high,central,"SexGender, Medicine/pos",positive,"Comedy,Drama,Family"
Doomwatch (By the Pricking of My Thumbs...),1971,TV Ep,"GeneDisease, Essentialism, GeneScreen",human,No,Academic,Jacobs syndrome,high,central,"Adoption/NonBioParents, Childhood, NatureVNurture, Discrimination, SciCold, Bioethics",negative,"Drama,Sci-Fi"
Doomwatch (Friday's Child),1970,TV Ep,"OrganHarvest, Sex",human,No,"Academic, Medical",NA,mid,peripheral,"Bioethics, SciCold, Individualism",mixed,"Drama,Sci-Fi"
Doomwatch (Invasion),1970,TV Ep,"BioWar/Terror, GMOs",microbe,Yes,Government,NA,low,peripheral,"Vulnerability, SciDedicated",negative,"Drama,Sci-Fi"
Doomwatch (The Plastic Eaters),1970,TV Ep,"BioWar/Terror, GMOs",microbe,Mixed,Government,NA,low,peripheral,SciDedicated,negative,"Drama,Sci-Fi"
"Doomwatch (Tomorrow, the Rat)",1970,TV Ep,"GMOs, Mutation",animal,Yes,Governement,NA,low,peripheral,"Monsters, SciDedicated, Bioethics",negative,"Drama,Sci-Fi"
Doomwatch (Web of Fear),1971,TV Ep,"GMOs, Mutation, Monoculture",microbe,No,"Academic, Accident",NA,high,peripheral,"SciDedicated, Prometheus",mixed,"Drama,Sci-Fi"
Doomwatch (You Killed Toby Wren),1970,TV Ep,"GMOs, GeneEngHu, Chimera/TransGen, Sex","animal, human",No,Academic,NA,low,central,"Monsters, SciMad, Bioethics",mixed,"Drama,Sci-Fi"
Dr. Kildare (Something of Importance),1962,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Race, SciDedicated, Bioethics",negative,Drama
Dr. Kildare's Crisis,1940,Film,"Eugenics, GeneDisease",human,No,NA,NA,mid,central,"Bioethics, Medicine/pos, Discrimination, Disability",negative,Drama
Dual,2022,Film,Cloning,human,NA,Corporation,cloning from cells,low,peripheral,"Individualism, Disability, Exploitation, SexGender, Medicine/neg, Mortality, NatureVNurture",negative,"Comedy,Drama,Sci-Fi"
Earth 2 (Redemption),1995,TV Ep,"GeneEngHu, DataPrivacy, Biobank",human,Yes,Government,NA,low,peripheral,"Medicine/pos, Posthumanism",negative,"Adventure,Sci-Fi"
Earth 2 (The Church of Morgan),1994,TV Ep,"Mutation, Evolution, GeneEngHu, GeneDisease",human,No,Government,NA,low,peripheral,"Bioethics, Exploitation, Posthumanism, Sacrifice",positive,"Adventure,Sci-Fi"
Earth 2 (The Eneny Within),1995,TV Ep,GeneEngHu,human,No,Medical,NA,low,peripheral,"Bioethics, Exploitation, Sacrifice",mixed,"Adventure,Sci-Fi"
Eden Log,2007,Film,Mutation,human,Yes,Corporation,NA,low,peripheral,"Exploitation, Prometheus, SexGender, Monsters",negative,"Horror,Mystery,Sci-Fi"
Elementary (Ears to You),2014,TV Ep,"GeneEngHu, DNAtoID, Forensics",human,No,Private,NA,high,peripheral,"Medicine/neg, Forensics, Exploitation",negative,"Crime,Drama,Mystery"
Elementary (Miss Taken),2016,TV Ep,"DNAtoID, Forensics, DataPrivacy",NA,NA,"Government, Private",NA,mid,peripheral,"Childhood, Exploitation, Forensics",mixed,"Crime,Drama,Mystery"
Elementary (On the Scent),2019,TV Ep,"DNAtoID, Forensics",NA,NA,Private,DNA test kit contamination,high,peripheral,Forensics,positive,"Crime,Drama,Mystery"
Elementary (Possibility Two),2013,TV Ep,"GeneDisease, Essentialism, GeneScreen, DataPrivacy, DNAtoID, Forensics, Mutation",human,Yes,"Academic, Government, Corporation",STR seq,mid,central,"Medicine/neg, Vulnerability, Disability, Forensics",negative,"Crime,Drama,Mystery"
Elementary (The Leviathan),2012,TV Ep,"DNAtoID, Forensics, GeneTherapy",human,No,"Medical, Government",bone marrow transplant,high,central,"NatureVNurture, Disability, Forensics, Interdependence",positive,"Crime,Drama,Mystery"
Eleventh Hour (Resurretion),2008,TV Ep,"DNAtoID, Cloning, Mutation",human,No,Private,"SCNT, IVF",high,central,"Bioethics, Exploitation, SexGender, Medicine/pos, Mortality, SciCold",negative,"Crime,Drama,Mystery"
Eleventh Hour (Resurretion),2006,TV Ep,"DNAtoID, Cloning, GeneDisease",human,No,Private,"Dolly the sheep, SCNT",high,central,"Medicine/neg, Exploitation, SexGender, NatureVNurture",mixed,"Sci-Fi,Thriller"
Eli,2019,Film,GeneDisease,human,NA,NA,NA,low,peripheral,"Disability, Religion, Adoption/NonBioParent",negative,"Drama,Horror,Mystery"
Elizabeth Harvest,2018,Film,Cloning,human,No,Private,NA,low,peripheral,"Individualism, Exploitation, Prometheus, SexGender, Vulnerability",negative,"Horror,Sci-Fi,Thriller"
Embryo,1976,Film,"Cloning, Sex","animal, human",Yes,Private,NA,high,central,"SciDedicated, Bioethics, Childhood, SexGender, Prometheus",mixed,"Horror,Sci-Fi"
Endangered Species,1982,Film,"Chimera/TransGen, GMOs, BioWar/Terror",microbe,Yes,Government,gene splicing,mid,peripheral,"SciCold, Exploitation, SexGender",negative,"Drama,Mystery,Thriller"
"Enemy, The",2001,Film,"BioWar/Terror, GMOs",microbe,Yes,Academic,NA,low,peripheral,SciDedicated,negative,"Action,Crime,Thriller"
ER (Calling Dr. Hathaway),1997,TV Ep,GMOs,animal,No,Academic,NA,mid,peripheral,"Bioethics, Medicine/pos",mixed,"Drama,Romance"
ER (Insurrection),2002,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Disability, Vulnerability",negative,"Drama,Romance"
ER (Man With No Name),2005,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,NA,mid,peripheral,"SexGender, Childhood, Autonomy",negative,"Drama,Romance"
ER (Never Say Never),2001,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Bioethics, Vulnerability, Disability",negative,"Drama,Romance"
"ER (Partly Cloudy, Chance of Rain)",2001,TV Ep,DNAtoID,NA,NA,Private,paternity test,low,central,Adoption/NonBioParent,negative,"Drama,Romance"
ER (Viable Options),2000,TV Ep,"GeneDisease, GeneScreen",human,Mixed,Medical,NA,mid,peripheral,"Childhood, Medicine/pos, Genealogy, Disability",negative,"Drama,Romance"
Errors of the Human Body,2012,Film,"GeneScreen, GeneDisease, Chimera/TransGen, GMOs","human, animal",No,Academic,"GFP, retrovirus",high,central,"SciDedicated, Bioethics, SciMad, Vulnerability, Disability",mixed,"Drama,Horror,Mystery"
Evolution,2001,Film,Evolution,"plant, animal",Yes,Accident,NA,mid,central,"Monsters, SciDedicated, Interdependence",negative,"Comedy,Sci-Fi"
Extinct (entire series),2017,TV series,"Conservation, GeneEngHu, DataPrivacy",human,No,Government,NA,low,peripheral,"Autonomy, Mortality",mixed,"Action,Adventure,Drama"
"Fairly OddParents, The (The Secret Origin of Denzel Crocker)",2002,TV Ep,DNAtoID,NA,NA,Private,NA,low,peripheral,Childhood,mixed,"Animation,Adventure,Comedy,Family"
Family Guy (A House Full of Peters),2017,TV Ep,"Biobank, DataPrivacy, Essentialism",human,No,Corporation,NA,low,central,"Genealogy, Individualism",negative,"Animation,Comedy"
Family Guy (Baby Stewie),2020,TV Ep,"GeneEngHu, Essentialism",human,No,Private,NA,low,central,"Childhood, SciMad",mixed,"Animation,Comedy"
Family Guy (Da Boom),1999,TV Ep,Mutation,human,Yes,Accident,radiation,low,peripheral,"Monsters, Interdependence",negative,"Animation,Comedy"
Family Guy (Family Gay),2009,TV Ep,"GeneEngHu, GeneTherapy, Essentialism",human,No,Academic,gay gene,low,central,"Medicine/neg, LGBTQIA, Discrimination",mixed,"Animation,Comedy"
Family Guy (Family Goy),2009,TV Ep,Essentialism,human,NA,NA,NA,low,central,"Religion, Genealogy, Discrimintation",mixed,"Animation,Comedy"
Family Guy (Fecal Matters),2021,TV Ep,"Biobank, Essentialism",animal,NA,Corporation,direct to consumer testing,low,central,NatureVNurture,mixed,"Animation,Comedy"
Family Guy (McStroke),2008,TV Ep,"GMOs, GeneTherapy","human, animal",No,"Medical, Corporation",NA,low,peripheral,"Medicine/pos, Exploitation",positive,"Animation,Comedy"
"Family Guy (No Giggity, No Doubt)",2019,TV Ep,Essentialism,human,NA,NA,NA,low,peripheral,"Genealogy, Childhood",mixed,"Animation,Comedy"
Family Guy (Partial Terms of Endearment),2010,TV Ep,Sex,human,No,Medical,IVF with intracytoplasmic sperm injection,high,central,"Adoption/NonBioParent, Autonomy, Bioethics, SexGender, Medicine/pos, Sacrifice",positive,"Animation,Comedy"
Family Guy (Quagmire's Baby),2009,TV Ep,"Cloning, GeneEngHu, DNAtoID, Essentialism",human,No,"Private, Medical",paternity test,low,central,"Adoption/NonBioParent, Childhood",mixed,"Animation,Comedy"
Family Guy (Road to the Multiverse),2009,TV Ep,GMOs,animal,No,Private,NA,low,peripheral,Religion,mixed,"Animation,Comedy"
Family Guy (Stewie Is Enceinte),2015,TV Ep,"Sex, Chimera/TransGen, DataPrivacy","human, animal",No,Private,NA,low,central,"SexGender, Childhood",negative,"Animation,Comedy"
Family History Mysteries: Buried Past,2023,TV Movie,"Biobank, DNAtoID, GeneDisease",NA,NA,Medical,DNA test kit,high,central,"Adoption/NonBioParent, Forensics, Genealogy, Medicine/pos, Vulnerability",positive,Drama
Family Matters (Send in the Clone),1996,TV Ep,Cloning,"human, plant",No,Private,NA,low,peripheral,"Bioethics, Individualism",mixed,"Adventure,Comedy,Drama,Family"
Farscape (DNA Mad Scientist),1999,TV Ep,"Biobank, DNAtoID, DataPrivacy, Chimera/TransGen, GeneEngHu",human,No,Private,NA,low,central,"SciMad, Exploitation, Prometheus",negative,"Action,Adventure,Drama"
Farscape (Exodus from Genesis),1999,TV Ep,"DataPrivacy, Cloning, DNAtoID",animal,No,Private,NA,low,peripheral,"Exploitation, Interdependence, Vulnerability",negative,"Action,Adventure,Drama"
Felidae,1994,Film,"Eugenics, DataPrivacy, Biobank",animal,No,Private,NA,mid,central,"Forensics, SciMad, Bioethics, Discrimination, Genealogy, SciNazi",negative,"Animation,Drama,Mystery"
"Fifth Element, The",1997,Film,GeneEngHu,human,No,Government,NA,low,peripheral,"Exploitation, SexGender, Galatea, Interdependence, Religion",positive,"Action,Adventure,Sci-Fi"
"Final Programme, The",1973,Film,"GeneEngHu, Sex, Chimera/TransGen",human,Yes,Academic,radiation,low,peripheral,"Posthumanism, Religion, SciDedicated",negative,"Sci-Fi,Thriller"
First Born (entire series),1988,TV series,Chimera/TransGen,"human, animal",Yes,Academic,NA,low,central,"Adoption/NonBioParent, Childhood, Bioethics",negative,"Drama,Sci-Fi"
First Wave (entire series),1998,TV series,"Cloning, Chimera/TransGen, Eugenics",human,Yes,Government,NA,low,peripheral,"Monsters, Autonomy",negative,"Adventure,Drama,Mystery"
Flipper (Pearl Maker),1996,TV Ep,"Conservation, GMOs",animal,Yes,Corporation,gene splicing,mid,central,SciDedicated,negative,"Action,Adventure,Drama"
"Fly, The",1986,Film,Chimera/TransGen,human,Yes,Private,NA,low,central,"SexGender, Mortality, Monsters, SciMad",negative,"Drama,Horror,Sci-Fi"
Follow the Stars Home,2001,TV Movie,GeneDisease,human,No,NA,NA,low,peripheral,"SexGender, Disability, Discrimination, Vulnerability, Childhood",negative,"Drama,Family,Romance"
Forbidden Relations,1983,Film,"GeneDisease, DataPrivacy",human,NA,Government,Abortion,mid,peripheral,"Bioethics, SexGender, Medicine/neg",mixed,"Drama,Romance"
Forbidden World,1982,Film,"WorldHunger, GMOs, Chimera/TransGen",animal,Yes,Government,synthetic DNA,low,central,"Monsters, Vulnerability",negative,"Horror,Sci-Fi"
Foundation (entire series),2021,TV series,"Cloning, Essentialism",human,NA,Government,NA,low,peripheral,"Childhood, Religion, Mortality",negative,"Drama,Sci-Fi"
Four Sided Triangle,1953,Film,"Cloning, Essentialism","human, animal",No,Private,NA,low,peripheral,"SciMad, Bioethics, Autonomy, Prometheus",negative,"Romance,Sci-Fi"
Frankenfish,2004,TV Movie,GMOs,animal,Yes,Private,NA,low,peripheral,Monsters,negative,"Adventure,Horror"
Frankenstein vs Baragon,1965,Film,Mutation,human,Mixed,Accident,NA,low,peripheral,"Adoption/NonBioParent, Bioethics, Childhood, Exploitation, Monsters, Mortality, SciCold, SciNazi",mixed,"Horror,Sci-Fi,Thriller"
Frasier (Lilith Needs a Favor),2003,TV Ep,"Sex, Essentialism, Cloning",human,NA,Private,NA,low,central,"SexGender, Genealogy, NatureVNurture",mixed,Comedy
Futurama (A Clone of My Own),2000,TV Ep,"Cloning, Essentialism",human,No,Private,NA,mid,peripheral,"Childhood, Individualism, Mortality, SciMad",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Children of a Lesser Bog),2023,TV Ep,"Sex, DNAtoID",human,No,Private,NA,low,central,"Adoption/NonBioParent, SexGender",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Cold Warriors),2011,TV Ep,Mutation,microbe,Yes,Academic,vaccine,low,peripheral,"Childhood, Medicine/pos, SciMad",positive,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (I Second that Emotion),1999,TV Ep,Mutation,human,No,Accident,NA,low,peripheral,"Discrimination, Interdependence, Monsters",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Jurassic Bark),2002,TV Ep,Cloning,animal,No,Academic,NA,low,peripheral,Mortality,mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Kif Gets Knocked Up a Notch),2003,TV Ep,"Sex, DNAtoID",human,No,Academic,NA,low,central,"SexGender, Adoption/NonBioParent",positive,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Leela and the Genestalk),2013,TV Ep,"GeneDisease, GMOs, Chimera/TransGen , GeneEngHu","animal, plant, human",No,Corporation,NA,low,central,"Bioethics, Monsters",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Leela's Homeworld),2002,TV Ep,Mutation,human,No,Accident,radiation,low,peripheral,"Adoption/NonBioParent, Discrimination, Sacrifice",negative,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Less Than Hero),2003,TV Ep,Mutation,human,No,Accident,NA,low,peripheral,"Discrimination, Monsters, Posthumanism",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Love and Rocket),2002,TV Ep,GMOs,animal,No,Corporation,NA,low,peripheral,Exploitation,mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Overclockwise),2011,TV Ep,Cloning,human,No,Private,NA,low,peripheral,"Autonomy, Individualism",positive,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Roswell That Ends Well),2001,TV Ep,Conservation,human,No,Private,NA,low,peripheral,"LGBTQIA, Mortality",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Teenage Mutant Leela's Hurdles),2003,TV Ep,Mutation,human,No,Corporation,NA,low,peripheral,Childhood,mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (The Mutants Are Revolting),2010,TV Ep,Mutation,human,No,Accident,NA,low,peripheral,Discrimination,positive,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Time Keeps On Slippin'),2001,TV Ep,Mutation,human,No,Private,NA,low,peripheral,SciMad,positive,"Animation,Adventure,Comedy,Sci-Fi"
Futurama (Zapp Dingbat),2012,TV Ep,Mutation,human,No,Accident,NA,low,peripheral,"Posthumanism, Monsters",mixed,"Animation,Adventure,Comedy,Sci-Fi"
Futurama: Into the Wild Green Yonder,2009,TV Movie,"Conservation, Evolution, Chimera/TransGen",animal,Mixed,Corporation,NA,low,central,"SexGender, Exploitation, Bioethics",positive,"Animation,Comedy,Sci-Fi"
Futurestates (Beholder),2011,TV Ep,"GeneScreen, Eugenics, Essentialism",NA,NA,Government,gay gene,low,central,"Discrimination, LGBTQIA, SexGender",negative,Sci-Fi
Futurestates (Seed),2010,TV Ep,"WorldHunger, GMOs, Monoculture","animal, plant",No,Corporation,NA,low,central,"Childhood, Autonomy",mixed,Sci-Fi
Futureworld,1976,Film,"DataPrivacy, Cloning",human,Yes,Corporation,NA,low,peripheral,"SciCold, Autonomy, Individualism, Exploitation",negative,"Sci-Fi,Thriller"
Gamera 3: Awakening of Irys,1999,Film,"GMOs, Conservation, Chimera/TransGen, Mutation",animal,Mixed,Government,NA,low,peripheral,"Interdependence, Monsters, SciMad, Religion, Sacrifice, Prometheus",mixed,"Fantasy,Horror,Sci-Fi"
Gamera: Guardian of the Universe,1995,Film,"GMOs, Conservation",animal,Mixed,Government,NA,low,peripheral,"Interdependence, Monsters, SciDedicated, Prometheus",mixed,"Adventure,Fantasy,Horror"
"Gamma People, The",1956,Film,"Mutation, Eugenics, GeneEngHu",human,No,Government,induced radiation,low,peripheral,"Bioethics, SciNazi, Posthumanism, Childhood, Mortality",mixed,"Drama,Horror,Sci-Fi"
Gattaca,1997,Film,"GeneScreen, GeneEngHu, Biobank, DataPrivacy, Essentialism, DNAtoID, Forensics, Eugenics",human,No,Medical,DNA seq,high,central,"Bioethics, Childhood, Discrimination, Forensics, Interdependence, Posthumanism",mixed,"Drama,Sci-Fi,Thriller"
Gemini Man,2019,Film,"Cloning, DataPrivacy, DNAtoID, Essentialism, GeneEngHu",human,No,Corporation,cloning from cells,low,central,"Adoption/NonBioParent, Bioethics, Childhood, Exploitation, NatureVNurture, Posthumanism, Galatea, Vulnerability, Individualism",negative,"Action,Sci-Fi,Thriller"
"Gene Generation, The",2007,Film,"DataPrivacy, GeneEngHu, BioWar/Terror",human,Mixed,Private,NA,low,central,"Childhood, Sacrifice, Medicine/neg, Vulnerability",mixed,"Action,Sci-Fi"
Geneshaft (entire series),2001,TV series,"Essentialism, Eugenics, GeneEngHu, Sex",human,No,Government,NA,low,central,"Discrimination, SexGender, Posthumanism, Sacrifice",negative,"Animation,Sci-Fi"
"Gifted Man, A (In Case of All Hell Breaking Loose)",2011,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Medicine/pos, Adoption/NonBioParent, SexGender",mixed,"Drama,Fantasy"
"Gifted Man, A (In Case of Blind Spots)",2012,TV Ep,"GeneDisease, GeneScreen",human,No,NA,NA,high,peripheral,"Medicine/pos, Vulnerability",mixed,"Drama,Fantasy"
Godsend,2004,Film,"Cloning, Chimera/TrasGen, GeneEngHu",human,Yes,Private,NA,low,peripheral,"Childhood, Exploitation, Medicine/neg",mixed,"Action,Drama,Fantasy"
Godzilla 2000: Millennium,1999,Film,Chimera/TransGen,human,Yes,Government,NA,low,peripheral,"Bioethics, Monsters, Prometheus, SciCold",negative,"Action,Adventure,Drama"
Godzilla vs Biollante,1989,Film,"BioWar/Terror, Chimera/TrensGen, Biobank, Essentialism, GeneEngHu, GMOs","human, plant, animal, microbe",Yes,Corporation,transgenic research,low,central,"Bioethics, Prometheus, Monsters, Mortality, SciMad",negative,"Action,Fantasy,Horror"
Godzilla vs. Destoroyah,1995,Film,"Mutation, Chimera/TransGen, Mutation","microbe, animal",Yes,Accident,NA,low,peripheral,"Bioethics, Adoption/NonBioParent, Sacrifice, Prometheus, Monsters, SciDedicated",negative,"Action,Horror,Sci-Fi"
Godzilla vs. King Ghidorah,1991,Film,"Mutation, BioWar/Terror, GMOs",animal,Yes,"Private, Accident",NA,low,peripheral,"Prometheus, Genealogy, Monsters, SciCold",negative,"Action,Adventure,Drama"
Godzilla: Final Wars,2004,Film,"Mutation, Chimera/TransGen, BioWar/Terror, Essentialism","human, animal",Mixed,Government,NA,low,peripheral,"Monsters, Autonomy, Posthumanism, Sacrifice",mixed,"Action,Adventure,Fantasy"
Godzilla: Tokyo SOS,2003,Film,Biobank,animal,Yes,Government,DNA based computer,low,peripheral,"Autonomy, Bioethics, Monsters, Galatea, Sacrifice, SciDedicated",negative,"Action,Adventure,Fantasy"
Goldengirl,1979,Film,"Eugenics, GeneDisease, GeneTherapy",human,No,"Private, Medical",NA,mid,central,"Adoption/NonBioParent, Exploitation, Posthumanism, SciNazi",mixed,"Drama,Sci-Fi,Sport"
"Good Doctor, The (39 Differences)",2023,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Childhood, Medicine/pos",negative,Drama
"Good Doctor, The (Carrots)",2018,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Medicine/pos, SexGender, Discrimination, Bioethics, Vulnerability",negative,Drama
"Good Doctor, The (Decrypt)",2021,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Bioethics, Disability, Discrimination, Mortality, Medicine/pos, Sacrifice",negative,Drama
"Good Doctor, The (Growth Opportunities)",2022,TV Ep,"DataPrivacy, DNAtoID, GeneDisease",human,No,NA,NA,mid,central,"Adoption/NonBioParent, Disability, Medicine/pos",mixed,Drama
"Good Doctor, The (Half Measures)",2023,TV Ep,"Sex, GeneScreen, GeneDisease",human,No,Medical,NA,mid,peripheral,"SexGender, Medicine/pos, Adoption/NonBioParent, SciDedicated",mixed,Drama
